train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features,warm_start
2.7930692556029237,2.9351482185168036,4.5436074135922535,4.840821750128972,100,5,2,2,False
2.4296377158703577,2.5610102094882823,4.0885059539507305,4.389909723764626,100,5,2,4,False
2.3437876483156788,2.461667894995105,3.986599015043902,4.264074320751005,100,5,2,6,False
2.34614728802656,2.452347809930023,3.9787837626902043,4.258345563546032,100,5,2,8,False
2.373616807111592,2.4772408897805054,4.004270235436493,4.278492120536647,100,5,2,10,False
2.794675312403772,2.9374185964407795,4.546664843659465,4.84466708371811,100,5,5,2,False
2.42901735496635,2.559983471686788,4.0880011902461,4.389211328206302,100,5,5,4,False
2.3433503769784974,2.4612226499630765,3.9861877123728853,4.263744542864906,100,5,5,6,False
2.34614728802656,2.452347809930023,3.9787837626902043,4.258345563546032,100,5,5,8,False
2.373616807111592,2.4772408897805054,4.004270235436493,4.278492120536647,100,5,5,10,False
2.8050340633472737,2.9469050058798296,4.563433150248482,4.857744810564172,100,5,10,2,False
2.429021752798961,2.5600460484473704,4.087925800341767,4.389968511485987,100,5,10,4,False
2.3433503769784974,2.4612226499630765,3.9861877123728853,4.263744542864906,100,5,10,6,False
2.34614728802656,2.452347809930023,3.9787837626902043,4.258345563546032,100,5,10,8,False
2.373616807111592,2.4772408897805054,4.004270235436493,4.278492120536647,100,5,10,10,False
2.799135330479604,2.941315421267449,4.552504602875941,4.847391420494524,100,5,20,2,False
2.429252666680681,2.559929106960015,4.088364165577543,4.390095468446878,100,5,20,4,False
2.3434536207584524,2.46156473777424,3.9865610440618244,4.264665546000399,100,5,20,6,False
2.34643041789086,2.452973338617285,3.978830003228276,4.258754540378009,100,5,20,8,False
2.373616807111592,2.4772408897805054,4.004270235436493,4.278492120536647,100,5,20,10,False
1.7394848867999702,2.10775605076303,3.005887539540831,3.856787379609537,100,10,2,2,False
1.6083123492484581,1.9999398850382237,2.7493996755463845,3.761079191767994,100,10,2,4,False
1.6006177540569124,1.996849725190379,2.7176983510635564,3.7778701923775864,100,10,2,6,False
1.5950560991761373,2.0080002870505327,2.693595323232705,3.795749638265147,100,10,2,8,False
1.6028065336720063,2.026883178025108,2.6904394733229204,3.8173009691493056,100,10,2,10,False
1.7504932891632399,2.0998330761810386,3.047465208462775,3.8600224555967166,100,10,5,2,False
