train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features
3.04948745869169,3.031145797820507,4.715396548654637,4.610112470544021,50,5,2,2
2.182940593318244,2.202526326709262,3.6304480122978586,3.593318913645179,50,5,2,4
2.020732059379327,2.0440933147316716,3.3635643294627866,3.3914102689152896,50,5,2,6
3.0796769585763117,3.063542837551777,4.753473652642636,4.650744335199984,50,5,5,2
2.182940593318244,2.202526326709262,3.6304480122978586,3.593318913645179,50,5,5,4
2.025729779671859,2.049361396461323,3.368500367652651,3.397660634283019,50,5,5,6
3.1037869242687917,3.08164480419569,4.799601776481044,4.686950559802747,50,5,10,2
2.1831896610562236,2.2022454139837255,3.6347667312875647,3.5958751348887015,50,5,10,4
2.0258504903328034,2.049579494019176,3.3686512135694775,3.3977267269616847,50,5,10,6
1.7508527017701816,1.9294228283864885,2.9390110072660507,3.1800309763942867,50,10,2,2
1.4424535340791353,1.6512283247324862,2.4730216847951034,2.869489062740547,50,10,2,4
1.3824127799356962,1.625452121531129,2.3612884777726024,2.871216379224064,50,10,2,6
1.7937866351831595,1.952377733820906,2.9932828002598932,3.179082673020706,50,10,5,2
1.4491143782102076,1.6533873173310158,2.496848704116338,2.8668226350427295,50,10,5,4
1.390607907852934,1.623519719238289,2.390683296065621,2.8722511432210163,50,10,5,6
1.7779523078980093,1.9407239733725492,2.9923198847199624,3.19386638228164,50,10,10,2
1.4787879780262347,1.6769494238623126,2.551013453163108,2.8963118554710388,50,10,10,4
1.412027306103517,1.6291337937390997,2.434071776653144,2.869558776152767,50,10,10,6
1.1166413907097783,1.6626106441803639,1.9135274289818123,2.83353572263042,50,15,2,2
0.9152019874739077,1.5352051892445158,1.539029572661092,2.724820746071942,50,15,2,4
0.8698544045403119,1.5536221993247648,1.4350461624326414,2.7714406764145494,50,15,2,6
1.1854119938548626,1.6725572232164085,2.0434178756091392,2.8616233936615094,50,15,5,2
0.9886943858195019,1.5544631996799145,1.7014881985816233,2.7492232092545876,50,15,5,4
0.9374109950480136,1.5442103871363633,1.6029669066233465,2.7713557890313787,50,15,5,6
1.3172253547892159,1.7202622616065981,2.2723170400130637,2.9265649841743726,50,15,10,2
1.0963640916631723,1.567024812749182,1.901933348918804,2.771434841502866,50,15,10,4
1.0523116112762794,1.5571188987149387,1.8281090160376785,2.7991088057899476,50,15,10,6
0.7429948490547303,1.5810855632757963,1.2759034176447237,2.737296565192507,50,20,2,2
0.6517030245681258,1.5296145112203767,1.1382374293594584,2.715006311031317,50,20,2,4
