filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_mean,depth_y,depth_min,depth_x
Scene01_rgb_00000.jpg,car,725.9719,174.58908,1182.4497,370.8859,-1.925707,6.406569,clone,0.85706586,328,0.5998566,910
Scene01_rgb_00000.jpg,car,700.04083,193.49179,795.50055,269.2914,-1.757717,13.15864,clone,1.4062357,268,0.8187735,794
Scene01_rgb_00000.jpg,car,675.9017,189.27974,738.9268,247.81506,-1.626971,19.29135,clone,2.2380867,246,1.2417352,737
Scene01_rgb_00000.jpg,car,383.3972,207.76454,455.01932,251.97449,1.853136,23.76534,clone,2.688263,250,2.4918013,416
Scene01_rgb_00000.jpg,car,502.24484,198.44595,535.6524,218.88658,1.700254,46.44057,clone,5.56114,217,4.799353,502
Scene01_rgb_00000.jpg,car,643.40106,185.31454,673.93524,207.02753,-1.624184,49.99795,clone,7.0627804,206,5.604597,672
Scene01_rgb_00000.jpg,car,535.7185,191.97536,559.89667,212.34244,1.67328,60.322,clone,7.3411236,209,6.0162663,535
Scene01_rgb_00000.jpg,car,562.126,191.2298,578.67236,204.82399,1.647921,77.81883,clone,8.826091,203,8.286424,562
Scene01_rgb_00000.jpg,car,573.8592,190.96693,587.86346,203.37671,-1.519118,103.7177,clone,9.545497,202,8.873068,573
Scene01_rgb_00000.jpg,car,360.1883,213.48822,389.88464,237.10046,-1.235514,53.72952,clone,2.4861012,213,2.0115745,368
Scene01_rgb_00001.jpg,car,743.86053,173.37262,1240.8593,370.59027,-1.99583,5.229192,clone,0.7322743,368,0.39837,1016
Scene01_rgb_00001.jpg,car,707.05865,191.45967,833.7351,289.90045,-1.77496,11.98126,clone,1.331105,288,0.6754079,832
Scene01_rgb_00001.jpg,car,678.44336,189.8696,749.14087,252.59448,-1.634634,18.11399,clone,2.1510653,251,1.3442132,748
Scene01_rgb_00001.jpg,car,370.1434,208.08043,447.35873,256.548,1.866621,22.58904,clone,2.577822,244,2.3216882,379
Scene01_rgb_00001.jpg,car,500.02933,200.33344,535.3969,221.7877,1.703997,45.2643,clone,5.176385,220,4.5200562,500
